design_id,provenance,f1,f2,f3,joint_rank
T004,THESIS_HB200,0.29746876561111402,0.1908716772395409,0.41732819373476993,1
T009,THESIS_HB200,0.0035320102535161,0.51754200740190404,1.3166659654678501,1
T012,THESIS_HB200,0.29366996260278688,0.2280810969191879,0.51754223986507786,2
T015,THESIS_HB200,0.0040186942814845004,0.31967106019834901,0.79020027991073105,1
T025,THESIS_HB200,0.033709293035965301,0.21937521685758701,0.51940350383955203,2
T028,THESIS_HB200,0.0036207492226272,0.34347616643252388,0.85295480536449286,1
T035,THESIS_HB200,0.0035601653225831001,0.34881722528564102,0.86666473156548485,1
T036,THESIS_HB200,0.011413872509893201,0.25194147187264587,0.60821282635066487,1
T038,THESIS_HB200,0.0035554029289804,0.44121098830149102,1.1122764440417401,1
C01,CURRENT_C,0.0151635558533914,0.27120715874048251,0.65958316641808423,2
C02,CURRENT_C,0.0955252717045421,0.18471976529485851,0.42186178849565542,1
C03,CURRENT_C,0.097682415946089299,0.18475249104828209,0.42177467537964231,1
C04,CURRENT_C,0.035509414628851002,0.19958292469520711,0.4662395996524617,1
C05,CURRENT_C,0.028886799370315699,0.21733365919792741,0.51427275149523766,1
C06,CURRENT_C,0.022399705495982799,0.2413384494217394,0.57904879232681461,1
C07,CURRENT_C,0.026511805459522898,0.2233832263849396,0.53064954527373875,1
C08,CURRENT_C,0.018219453240328198,0.25472574771030992,0.61520994055674683,2
C09,CURRENT_C,0.065928934507937006,0.1898535301772997,0.43793525200889422,1
