THESIS_ID,baseline_index,selection_basis,m_max_freeze,T_min_freeze,r_rec_freeze,phase_hybrid,mode_hybrid,m_max_hybrid,T_min_hybrid,r_rec_hybrid,t_rec_or_historical_equivalent_hybrid,terminal_time_hybrid,terminal_regime_hybrid,M_terminal_hybrid,MR_terminal_hybrid,water_removed_kg_hybrid,useful_auxiliary_heat_MJ_hybrid,LPG_energy_input_MJ_hybrid,LPG_mass_kg_hybrid,LPG_cost_USD_hybrid,solar_cost_USD_hybrid,impeller_electricity_kWh_hybrid,electricity_cost_USD_hybrid,total_cost_USD_hybrid,total_operational_emissions_kgCO2e_hybrid,f1_hybrid,f2_hybrid,f3_hybrid,penalty_flag_hybrid,nonphysical_flag_hybrid,status_hybrid,notes_hybrid,current_rank,CURRENT_ND,phase_gasLP,mode_gasLP,m_max,T_min,r_rec,t_rec_or_historical_equivalent_gasLP,terminal_time_gasLP,terminal_regime_gasLP,M_terminal_gasLP,MR_terminal_gasLP,water_removed_kg_gasLP,useful_auxiliary_heat_MJ_gasLP,LPG_energy_input_MJ_gasLP,LPG_mass_kg_gasLP,LPG_cost_USD_gasLP,solar_cost_USD_gasLP,impeller_electricity_kWh_gasLP,electricity_cost_USD_gasLP,total_cost_USD_gasLP,total_operational_emissions_kgCO2e_gasLP,f1_gasLP,f2_gasLP,f3_gasLP,penalty_flag_gasLP,nonphysical_flag_gasLP,status_gasLP,notes_gasLP,Delta_f1_hybrid_minus_gasLP,Delta_f2_hybrid_minus_gasLP,Delta_f3_hybrid_minus_gasLP,Delta_water_removed_kg_hybrid_minus_gasLP,Delta_useful_auxiliary_heat_MJ_hybrid_minus_gasLP,Delta_LPG_energy_input_MJ_hybrid_minus_gasLP,Delta_total_cost_USD_hybrid_minus_gasLP,Delta_total_operational_emissions_kgCO2e_hybrid_minus_gasLP
T025,25,THESIS_REPORTED_COMPROMISE,0.077283581084795896,66.839474122440095,0.33527438350425498,BASELINE,hybrid,0.077283581084795799,66.839474122440095,0.33527438350425492,0,19.899999999999999,TMAX_REACHED,0.30961823995328203,0.033709293035965301,165.94992576121501,925.25500971530494,1186.22437142988,25.698101634096201,28.770425873279301,6.1648666121330997,20.497,1.47000846595462,36.405300951367003,86.194972902288512,0.033709293035965301,0.21937521685758701,0.51940350383955203,0,0,OK,Productive objective v96j_fix1; no optimizer,1,YES,GASLP_CONTEXT,gasLP,0.077283581084795896,66.839474122440095,0.33527438350425498,0,19.899999999999999,TMAX_REACHED,0.30961823995328203,0.033709293035965301,165.94992576121501,1357.5631469411001,1740.4655730014099,37.705060073687399,42.212870481384897,0,20.497,1.47000846595462,43.682878947339503,122.215848221062,0.033709293035965301,0.26322927682531599,0.73646220485159297,0,0,OK,Productive objective v96j_fix1; no optimizer,0,-0.043854059967728981,-0.21705870101204094,0,-432.30813722579512,-554.24120157152993,-7.2775779959725,-36.020875318773491
T009,9,CURRENT_MIN_F1,0.190086602771221,69.430226122799397,0.25047558250020302,BASELINE,hybrid,0.190086602771221,69.430226122799397,0.25047558250020302,0,17.399999999999999,M_DES_REACHED,0.110286689801653,0.0035320102535161,171.13254606515699,2608.7521591037998,3344.5540501330802,72.455676995950498,81.118080774668798,6.1648666121330997,17.922000000000001,1.2853340355583101,88.568281422360187,225.32439898785199,0.0035320102535161,0.51754200740190404,1.3166659654678501,0,0,OK,Productive objective v96j_fix1; no optimizer,1,YES,GASLP_CONTEXT,gasLP,0.190086602771221,69.430226122799397,0.25047558250020302,0,17.399999999999999,M_DES_REACHED,0.110286689801653,0.0035320102535161,171.13254606515699,3096.0326791038001,3969.2726655176898,85.989442493884098,96.2698691280943,0,17.922000000000001,1.2853340355583101,97.555203163652607,265.92569548165199,0.0035320102535161,0.57005640018064996,1.5539165494587099,0,0,OK,Productive objective v96j_fix1; no optimizer,0,-0.052514392778745922,-0.23725058399085985,0,-487.28052000000025,-624.71861538460962,-8.9869217412924201,-40.601296493799993
T004,4,CURRENT_MIN_F2|CURRENT_MIN_F3,0.071657476626693695,54.336809606128398,0.232434175006342,BASELINE,hybrid,0.071657476626693598,54.336809606128398,0.232434175006342,0,19.899999999999999,TMAX_REACHED,2.0518421808760894,0.29746876561111402,120.652103297222,495.07627744210703,634.71317620782997,13.750285446443501,15.3941942407314,6.1648666121330997,20.497,1.47000846595462,23.029069318819101,50.351524339330403,0.29746876561111402,0.1908716772395409,0.41732819373476993,0,0,OK,Productive objective v96j_fix1; no optimizer,1,YES,GASLP_CONTEXT,gasLP,0.071657476626693695,54.336809606128398,0.232434175006342,0,19.899999999999999,TMAX_REACHED,2.35143759654038,0.34282523613446803,112.86262248995,902.22580794271505,1156.69975377271,25.058486866826499,28.054342268692299,0,20.497,1.47000846595462,29.524350734646902,84.276128600479495,0.34282523613446803,0.26159546963633501,0.74671425084052001,0,0,OK,Productive objective v96j_fix1; no optimizer,-0.045356470523354009,-0.070723792396794105,-0.32938605710575009,7.7894808072719997,-407.14953050060802,-521.98657756488001,-6.4952814158278009,-33.924604261149092
