THESIS_ID,SOURCE_ARCHIVE,SOURCE_ROW,m_max,T_min,r_rec,historical_timing_semantics,mapped_t_rec,historical_F1_if_available,historical_F2_if_available,historical_F3_if_available,historical_ND_status_if_recoverable,duplicate_count,source_file,source_hash
T014,HB200,15,0.073577281478477502,45.181040954622482,0.6930110913317501,FIXED_FROM_START,0,16.190446047220501,0.89181718644546515,83.261704335459854,YES,1,03_original_model/05_outputs_historicos/final_pop_HB200.mat|03_original_model/05_outputs_historicos/scores_HB200.mat,CA40083629C97A7851A15219F46ACF22C7C5AFE4EC09190E5BBA9618106977B9|F1D4A1AD85A533CE41D87FEAA04651B9604607E3D3F527EA5A3FCDA11971FD9B
T015,HB200,16,0.12516192360294051,69.624269995579709,0.50806113373497364,FIXED_FROM_START,0,7.5051155109040382,0.0046408446180965998,165.33453115404646,YES,1,03_original_model/05_outputs_historicos/final_pop_HB200.mat|03_original_model/05_outputs_historicos/scores_HB200.mat,CA40083629C97A7851A15219F46ACF22C7C5AFE4EC09190E5BBA9618106977B9|F1D4A1AD85A533CE41D87FEAA04651B9604607E3D3F527EA5A3FCDA11971FD9B
T016,HB200,17,0.073783017940746695,45.162991854549887,0.70096233263327568,FIXED_FROM_START,0,16.973594913330793,0.89664636145909871,83.301231084349467,NO,1,03_original_model/05_outputs_historicos/final_pop_HB200.mat|03_original_model/05_outputs_historicos/scores_HB200.mat,CA40083629C97A7851A15219F46ACF22C7C5AFE4EC09190E5BBA9618106977B9|F1D4A1AD85A533CE41D87FEAA04651B9604607E3D3F527EA5A3FCDA11971FD9B
T017,HB200,18,0.18134203835948429,68.650489380596298,0.52408658859194435,FIXED_FROM_START,0,9.8798556248755585,0.0035396268655835,196.16032203442165,YES,1,03_original_model/05_outputs_historicos/final_pop_HB200.mat|03_original_model/05_outputs_historicos/scores_HB200.mat,CA40083629C97A7851A15219F46ACF22C7C5AFE4EC09190E5BBA9618106977B9|F1D4A1AD85A533CE41D87FEAA04651B9604607E3D3F527EA5A3FCDA11971FD9B
T018,HB200,19,0.17857742518074171,69.160543782904568,0.486395377800171,FIXED_FROM_START,0,9.9844328263494742,0.0035372103509525,196.36467953322804,YES,1,03_original_model/05_outputs_historicos/final_pop_HB200.mat|03_original_model/05_outputs_historicos/scores_HB200.mat,CA40083629C97A7851A15219F46ACF22C7C5AFE4EC09190E5BBA9618106977B9|F1D4A1AD85A533CE41D87FEAA04651B9604607E3D3F527EA5A3FCDA11971FD9B
T019,HB200,21,0.16212534458660091,53.284602721645889,0.4938166847922501,FIXED_FROM_START,0,7.1375828929696974,0.17146024870373111,143.15504592174682,NO,1,03_original_model/05_outputs_historicos/final_pop_HB200.mat|03_original_model/05_outputs_historicos/scores_HB200.mat,CA40083629C97A7851A15219F46ACF22C7C5AFE4EC09190E5BBA9618106977B9|F1D4A1AD85A533CE41D87FEAA04651B9604607E3D3F527EA5A3FCDA11971FD9B
T020,HB200,22,0.073564172221545807,45.189712343039822,0.69906168371301292,FIXED_FROM_START,0,16.836789088930711,0.89600275493543102,83.253836755724038,NO,1,03_original_model/05_outputs_historicos/final_pop_HB200.mat|03_original_model/05_outputs_historicos/scores_HB200.mat,CA40083629C97A7851A15219F46ACF22C7C5AFE4EC09190E5BBA9618106977B9|F1D4A1AD85A533CE41D87FEAA04651B9604607E3D3F527EA5A3FCDA11971FD9B
T021,HB200,23,0.185552936023854,69.709582417248626,0.36175966426841499,FIXED_FROM_START,0,11.299258524565186,0.0035200762804224999,212.58396821741309,YES,1,03_original_model/05_outputs_historicos/final_pop_HB200.mat|03_original_model/05_outputs_historicos/scores_HB200.mat,CA40083629C97A7851A15219F46ACF22C7C5AFE4EC09190E5BBA9618106977B9|F1D4A1AD85A533CE41D87FEAA04651B9604607E3D3F527EA5A3FCDA11971FD9B
T022,HB200,24,0.073562131420663507,45.690027209116543,0.69858021915498014,FIXED_FROM_START,0,14.508817799795844,0.8743014364517685,84.31532964518729,NO,1,03_original_model/05_outputs_historicos/final_pop_HB200.mat|03_original_model/05_outputs_historicos/scores_HB200.mat,CA40083629C97A7851A15219F46ACF22C7C5AFE4EC09190E5BBA9618106977B9|F1D4A1AD85A533CE41D87FEAA04651B9604607E3D3F527EA5A3FCDA11971FD9B
T023,HB200,25,0.1106428960093252,59.84385309099185,0.26771747889775432,FIXED_FROM_START,0,6.3412651492197796,0.080475698396089701,141.91717864736364,NO,1,03_original_model/05_outputs_historicos/final_pop_HB200.mat|03_original_model/05_outputs_historicos/scores_HB200.mat,CA40083629C97A7851A15219F46ACF22C7C5AFE4EC09190E5BBA9618106977B9|F1D4A1AD85A533CE41D87FEAA04651B9604607E3D3F527EA5A3FCDA11971FD9B
T024,HB200,27,0.075230760140142197,52.837490225883357,0.57716925684666343,FIXED_FROM_START,0,5.3985915673557443,0.4763100218762602,98.840923371645374,NO,1,03_original_model/05_outputs_historicos/final_pop_HB200.mat|03_original_model/05_outputs_historicos/scores_HB200.mat,CA40083629C97A7851A15219F46ACF22C7C5AFE4EC09190E5BBA9618106977B9|F1D4A1AD85A533CE41D87FEAA04651B9604607E3D3F527EA5A3FCDA11971FD9B
T025,HB200,28,0.077283581084795799,66.839474122440137,0.3352743835042547,FIXED_FROM_START,0,5.1026738927262558,0.037827461415245102,128.64793520430408,YES,1,03_original_model/05_outputs_historicos/final_pop_HB200.mat|03_original_model/05_outputs_historicos/scores_HB200.mat,CA40083629C97A7851A15219F46ACF22C7C5AFE4EC09190E5BBA9618106977B9|F1D4A1AD85A533CE41D87FEAA04651B9604607E3D3F527EA5A3FCDA11971FD9B
T026,HB200,29,0.12801632621865711,54.056565157662611,0.67319397434474915,FIXED_FROM_START,0,6.1620055495477981,0.24384198743951141,125.16419809611928,NO,1,03_original_model/05_outputs_historicos/final_pop_HB200.mat|03_original_model/05_outputs_historicos/scores_HB200.mat,CA40083629C97A7851A15219F46ACF22C7C5AFE4EC09190E5BBA9618106977B9|F1D4A1AD85A533CE41D87FEAA04651B9604607E3D3F527EA5A3FCDA11971FD9B
T027,HB200,30,0.078812126706852101,50.851574268469456,0.41309940625120117,FIXED_FROM_START,0,5.0183314888882009,0.47297541151222172,96.18783555652476,YES,1,03_original_model/05_outputs_historicos/final_pop_HB200.mat|03_original_model/05_outputs_historicos/scores_HB200.mat,CA40083629C97A7851A15219F46ACF22C7C5AFE4EC09190E5BBA9618106977B9|F1D4A1AD85A533CE41D87FEAA04651B9604607E3D3F527EA5A3FCDA11971FD9B
T028,HB200,31,0.1593136840516621,69.118367050482078,0.66361078998902567,FIXED_FROM_START,0,8.2088744830545401,0.0035532090656647999,174.85009004872094,YES,1,03_original_model/05_outputs_historicos/final_pop_HB200.mat|03_original_model/05_outputs_historicos/scores_HB200.mat,CA40083629C97A7851A15219F46ACF22C7C5AFE4EC09190E5BBA9618106977B9|F1D4A1AD85A533CE41D87FEAA04651B9604607E3D3F527EA5A3FCDA11971FD9B
T029,HB200,34,0.073565381349814996,45.191978277574528,0.46113234648961082,FIXED_FROM_START,0,6.549233908992611,0.7097502083616497,85.405155916924571,YES,1,03_original_model/05_outputs_historicos/final_pop_HB200.mat|03_original_model/05_outputs_historicos/scores_HB200.mat,CA40083629C97A7851A15219F46ACF22C7C5AFE4EC09190E5BBA9618106977B9|F1D4A1AD85A533CE41D87FEAA04651B9604607E3D3F527EA5A3FCDA11971FD9B
T030,HB200,35,0.109769177849232,56.245629156444565,0.49826687388713281,FIXED_FROM_START,0,5.4697997417781981,0.1837613018404162,122.34278153034532,YES,1,03_original_model/05_outputs_historicos/final_pop_HB200.mat|03_original_model/05_outputs_historicos/scores_HB200.mat,CA40083629C97A7851A15219F46ACF22C7C5AFE4EC09190E5BBA9618106977B9|F1D4A1AD85A533CE41D87FEAA04651B9604607E3D3F527EA5A3FCDA11971FD9B
