THESIS_ID,phase,mode,m_max,T_min,r_rec,t_rec_or_historical_equivalent,terminal_time,terminal_regime,M_terminal,MR_terminal,water_removed_kg,useful_auxiliary_heat_MJ,LPG_energy_input_MJ,LPG_mass_kg,LPG_cost_USD,solar_cost_USD,impeller_electricity_kWh,electricity_cost_USD,total_cost_USD,total_operational_emissions_kgCO2e,f1,f2,f3,penalty_flag,nonphysical_flag,status,notes,current_rank,CURRENT_ND
T001,BASELINE,hybrid,0.190086602771221,69.805226122799397,0.00047558250020250003,0,17,M_DES_REACHED,0.11050396537761301,0.0035649041255220002,171.126896900182,3127.7199166127298,4009.8973289906799,86.86952619130598,97.255170810665291,6.1648666121330997,17.510000000000002,1.2557861266949,104.675823549493,268.38301857391798,0.0035649041255220002,0.61168539514013687,1.5683275010267099,0,0,OK,Productive objective v96j_fix1; no optimizer,3,NO
T002,BASELINE,hybrid,0.073569779465204904,45.188058045774895,0.69933011683854995,0,19.899999999999999,TMAX_REACHED,5.76027643135847,0.85889754581072586,24.232812784679705,248.81674875088399,318.99583173190302,6.9106549335334302,7.7368549759815011,6.1648666121330997,20.497,1.47000846595462,15.3717300540692,29.832632800600301,0.85889754581072586,0.63433536134061186,1.23108419421541,0,0,OK,Productive objective v96j_fix1; no optimizer,14,NO
T003,BASELINE,hybrid,0.190086602771221,69.781190635354307,0.195466534965961,0,17.100000000000001,M_DES_REACHED,0.110381340152869,0.0035463395978267,171.13008515602499,2706.3668956828301,3469.7011483113201,75.166835968616098,84.1533710604796,6.1648666121330997,17.613,1.2631731039107501,91.581410776523398,233.32067990584801,0.0035463395978267,0.53515669493780305,1.3634112300775201,0,0,OK,Productive objective v96j_fix1; no optimizer,2,NO
T004,BASELINE,hybrid,0.071657476626693598,54.336809606128398,0.232434175006342,0,19.899999999999999,TMAX_REACHED,2.0518421808760894,0.29746876561111402,120.652103297222,495.07627744210703,634.71317620782997,13.750285446443501,15.3941942407314,6.1648666121330997,20.497,1.47000846595462,23.029069318819101,50.351524339330403,0.29746876561111402,0.1908716772395409,0.41732819373476993,0,0,OK,Productive objective v96j_fix1; no optimizer,1,YES
T005,BASELINE,hybrid,0.190086602771221,69.930226122799397,0.00047558250020250003,0,16.899999999999999,M_DES_REACHED,0.110584117247706,0.0035770385099058001,171.12481295155999,3118.7315984472598,3998.3738441631494,86.619883972338684,96.975682735713207,6.1648666121330997,17.407,1.2483991494790501,104.388948497325,267.58835991701602,0.0035770385099058001,0.61001643593833887,1.5637028628499501,0,0,OK,Productive objective v96j_fix1; no optimizer,3,NO
T006,BASELINE,hybrid,0.073565381349815107,45.191978277574499,0.69751663868184188,0,19.899999999999999,TMAX_REACHED,5.7568607799888802,0.85838044213502585,24.321619720289,248.17692228851101,318.17554139552698,6.8928843456569897,7.7169598339782803,6.1648666121330997,20.497,1.47000846595462,15.351834912066,29.779321036971002,0.85838044213502585,0.63120117363152195,1.22439711579444,0,0,OK,Productive objective v96j_fix1; no optimizer,11,NO
T007,BASELINE,hybrid,0.073788742487953599,45.190295838634299,0.70169430935600186,0,19.899999999999999,TMAX_REACHED,5.7572779038768802,0.85844359152364003,24.310774499200999,250.837283118415,321.58626040822401,6.9667734057241004,7.7996826652510096,6.1648666121330997,20.497,1.47000846595462,15.434557743338701,30.000988217172296,0.85844359152364003,0.63488548025674785,1.23406139192144,0,0,OK,Productive objective v96j_fix1; no optimizer,12,NO
T008,BASELINE,hybrid,0.073562131420663507,45.190027209116494,0.69858021915498003,0,19.899999999999999,TMAX_REACHED,5.7588930856967799,0.85868811778396903,24.268779771883601,248.53880195035896,318.63948967994799,6.9029352183697501,7.7282123339668516,6.1648666121330997,20.497,1.47000846595462,15.3630874120546,29.809473655109201,0.85868811778396903,0.63303913737984285,1.22830541688976,0,0,OK,Productive objective v96j_fix1; no optimizer,12,NO
T009,BASELINE,hybrid,0.190086602771221,69.430226122799397,0.25047558250020302,0,17.399999999999999,M_DES_REACHED,0.110286689801653,0.0035320102535161,171.13254606515699,2608.7521591037998,3344.5540501330802,72.455676995950498,81.118080774668798,6.1648666121330997,17.922000000000001,1.2853340355583101,88.568281422360187,225.32439898785199,0.0035320102535161,0.51754200740190404,1.3166659654678501,0,0,OK,Productive objective v96j_fix1; no optimizer,1,YES
T010,BASELINE,hybrid,0.078852147773017398,53.588807030096199,0.28579731927693702,0,19.899999999999999,TMAX_REACHED,2.0945110071836095,0.30392850184703801,119.542713813226,523.96243427719196,671.74671061178492,14.5525717203593,16.292397466070799,6.1648666121330997,20.497,1.47000846595462,23.927272544158505,52.758383161077901,0.30392850184703801,0.20015667857049391,0.44133499632196488,0,0,OK,Productive objective v96j_fix1; no optimizer,2,NO
T011,BASELINE,hybrid,0.190086602771221,69.906190635354307,0.195466534965961,0,17,M_DES_REACHED,0.110454039359916,0.0035573457056276001,171.12819497664199,2698.2453886766002,3459.2889598418001,74.941268627422005,83.900836123788096,6.1648666121330997,17.510000000000002,1.2557861266949,91.321488862616093,232.59824588226601,0.0035573457056276001,0.53364373343084004,1.3592046939664999,0,0,OK,Productive objective v96j_fix1; no optimizer,2,NO
T012,BASELINE,hybrid,0.073588722521528205,57.134450991640001,0.67062678325675185,0,19.899999999999999,TMAX_REACHED,2.0267497529782701,0.29366996260278688,121.304506422565,644.24034277668,825.94915740600004,17.893179319887299,20.032389808011501,6.1648666121330997,20.497,1.47000846595462,27.6672648860993,62.780205959661998,0.29366996260278688,0.2280810969191879,0.51754223986507786,0,0,OK,Productive objective v96j_fix1; no optimizer,1,YES
T013,BASELINE,hybrid,0.086693218323770901,45.355236375702702,0.83065595007711002,0,19.899999999999999,TMAX_REACHED,5.65148307682274,0.84242705821265795,27.061440002608695,383.099063368906,491.15264534475102,10.640221952875899,11.9123085949777,6.1648666121330997,20.497,1.47000846595462,19.547183673065401,41.021333858627699,0.84242705821265795,0.722326072492117,1.5158592393706001,0,0,OK,Productive objective v96j_fix1; no optimizer,10,NO
T014,BASELINE,hybrid,0.073577281478477502,45.181040954622496,0.69301109133174987,0,19.899999999999999,TMAX_REACHED,5.7544604507428092,0.85801705051751886,24.384028280686895,246.00272868410201,315.38811369756598,6.83249813036322,7.6493541736219388,6.1648666121330997,20.497,1.47000846595462,15.2842292517097,29.598162391089701,0.85801705051751886,0.62681313668813987,1.21383399208623,0,0,OK,Productive objective v96j_fix1; no optimizer,10,NO
T015,BASELINE,hybrid,0.12516192360294101,69.624269995579695,0.50806113373497386,0,19.899999999999999,TMAX_REACHED,0.113501408715492,0.0040186942814845004,171.04896337339699,1512.94894846636,1939.6781390594399,42.020756912033001,47.044528389314699,6.1648666121330997,20.497,1.47000846595462,54.679403467402494,135.16293873609899,0.0040186942814845004,0.31967106019834901,0.79020027991073105,0,0,OK,Productive objective v96j_fix1; no optimizer,1,YES
T016,BASELINE,hybrid,0.073783017940746598,45.162991854549901,0.70096233263327601,0,19.899999999999999,TMAX_REACHED,5.7651370509027897,0.85963340669363686,24.106436676527501,249.56342940361696,319.95311462002098,6.9313932976607697,7.7600727053046308,6.1648666121330997,20.497,1.47000846595462,15.3949477833924,29.894847892982295,0.85963340669363686,0.63862394886351903,1.2401189065861,0,0,OK,Productive objective v96j_fix1; no optimizer,15,NO
