THESIS_ID,phase,mode,m_max,T_min,r_rec,t_rec_or_historical_equivalent,terminal_time,terminal_regime,M_terminal,MR_terminal,water_removed_kg,useful_auxiliary_heat_MJ,LPG_energy_input_MJ,LPG_mass_kg,LPG_cost_USD,solar_cost_USD,impeller_electricity_kWh,electricity_cost_USD,total_cost_USD,total_operational_emissions_kgCO2e,f1,f2,f3,penalty_flag,nonphysical_flag,status,notes,timing_category,Delta_f1_vs_historical,Delta_f2_vs_historical,Delta_f3_vs_historical,Delta_water_removed_kg_vs_historical,Delta_useful_auxiliary_heat_MJ_vs_historical,Delta_LPG_energy_input_MJ_vs_historical,Delta_LPG_mass_kg_vs_historical,Delta_total_cost_USD_vs_historical,Delta_total_operational_emissions_kgCO2e_vs_historical
T004,TIMING_EXPERIMENT,hybrid,0.071657476626693598,54.336809606128398,0.232434175006342,0,19.899999999999999,TMAX_REACHED,2.0518421808760894,0.29746876561111402,120.652103297222,495.07627744210703,634.71317620782997,13.750285446443501,15.3941942407314,6.1648666121330997,20.497,1.47000846595462,23.029069318819101,50.351524339330403,0.29746876561111402,0.1908716772395409,0.41732819373476993,0,0,OK,Productive objective v96j_fix1; no optimizer,HISTORICALLY_FAITHFUL,0,0,0,0,0,0,0,0,0
T004,TIMING_EXPERIMENT,hybrid,0.071657476626693598,54.336809606128398,0.232434175006342,8.6517528080999977,19.899999999999999,TMAX_REACHED,1.97318168577195,0.28556016407383,122.697276169929,517.24489991168105,663.13448706625798,14.365998419979601,16.083518484076802,6.1648666121330997,20.497,1.47000846595462,23.718393562164501,52.198663259938797,0.28556016407383,0.19330823228150401,0.42542642256904201,0,0,OK,Productive objective v96j_fix1; no optimizer,CURRENT_LOWER_BOUND,-0.011908601537284014,0.0024365550419631066,0.008098228834272081,2.0451728727069991,22.168622469574018,28.421310858428001,0.61571297353609999,0.68932424334539988,1.8471389206083941
T004,TIMING_EXPERIMENT,hybrid,0.071657476626693598,54.336809606128398,0.232434175006342,11.32587640405,19.899999999999999,TMAX_REACHED,1.90088637301537,0.27461520280080792,124.5769543016,516.76767325604897,662.52265802057502,14.3527438912603,16.068679316521401,6.1648666121330997,20.497,1.47000846595462,23.7035543946091,52.158899673780894,0.27461520280080792,0.190272386473849,0.41868819129663792,0,0,OK,Productive objective v96j_fix1; no optimizer,CURRENT_BOUNDS_MIDPOINT,-0.022853562810306094,-0.0005992907656919011,0.0013599975618679983,3.9248510043779987,21.691395813941938,27.809481812745048,0.60245844481679889,0.67448507578999894,1.8073753344504908
T004,TIMING_EXPERIMENT,hybrid,0.071657476626693598,54.336809606128398,0.232434175006342,14,19.899999999999999,TMAX_REACHED,1.9026637630754497,0.27488428615673988,124.530742160038,525.59334640988004,673.83762360240996,14.5978687955461,16.343110011397901,6.1648666121330997,20.497,1.47000846595462,23.9779850894856,52.894274386638401,0.27488428615673988,0.192546713153534,0.42474872845985601,0,0,OK,Productive objective v96j_fix1; no optimizer,CURRENT_UPPER_BOUND,-0.02258447945437414,0.0016750359139930948,0.0074205347250860809,3.878638862816004,30.517068967773014,39.124447394579988,0.84758334910259947,0.94891577066649901,2.5427500473079974
T009,TIMING_EXPERIMENT,hybrid,0.190086602771221,69.430226122799397,0.25047558250020302,0,17.399999999999999,M_DES_REACHED,0.110286689801653,0.0035320102535161,171.13254606515699,2608.7521591037998,3344.5540501330802,72.455676995950498,81.118080774668798,6.1648666121330997,17.922000000000001,1.2853340355583101,88.568281422360187,225.32439898785199,0.0035320102535161,0.51754200740190404,1.3166659654678501,0,0,OK,Productive objective v96j_fix1; no optimizer,HISTORICALLY_FAITHFUL,0,0,0,0,0,0,0,0,0
T009,TIMING_EXPERIMENT,hybrid,0.190086602771221,69.430226122799397,0.25047558250020302,8.6517528080999977,17.300000000000001,M_DES_REACHED,0.110486895830516,0.0035623199257337002,171.12734070840699,2832.7829115573199,3631.7729635350306,78.677923820082995,88.084225339270901,6.1648666121330997,17.818999999999999,1.2779470583424599,95.527039009746403,243.94540746024896,0.0035623199257337002,0.55822195690237586,1.42551977054281,0,0,OK,Productive objective v96j_fix1; no optimizer,CURRENT_LOWER_BOUND,3.0309672217600225e-05,0.040679949500471824,0.1088538050749599,-0.0052053567499967812,224.03075245352011,287.21891340195043,6.2222468241324975,6.9587575873862164,18.621008472396966
T009,TIMING_EXPERIMENT,hybrid,0.190086602771221,69.430226122799397,0.25047558250020302,11.32587640405,17.300000000000001,M_DES_REACHED,0.110386435977274,0.0035471110669391,171.129952664591,2933.7489983369701,3761.2166645345696,81.482163443123298,91.223724488054302,6.1648666121330997,17.818999999999999,1.2779470583424599,98.666538158529789,252.35812632937001,0.0035471110669391,0.57655913895981203,1.4746578398463299,0,0,OK,Productive objective v96j_fix1; no optimizer,CURRENT_BOUNDS_MIDPOINT,1.510081342300006e-05,0.059017131557907998,0.15799187437847984,-0.0025934005659848935,324.99683923317025,416.66261440148946,9.0264864471728004,10.098256736169603,27.033727341518016
T009,TIMING_EXPERIMENT,hybrid,0.190086602771221,69.430226122799397,0.25047558250020302,14,17.300000000000001,M_DES_REACHED,0.110305548066796,0.0035348652516314001,171.13205575026299,3036.7531523963098,3893.2732723029599,84.343008498764306,94.426596504835885,6.1648666121330997,17.818999999999999,1.2779470583424599,101.869410175311,260.94066149629293,0.0035348652516314001,0.595267845808921,1.52479125171668,0,0,OK,Productive objective v96j_fix1; no optimizer,CURRENT_UPPER_BOUND,2.8549981153000968e-06,0.077725838407016967,0.20812528624882987,-0.00049031489399453676,428.00099329250997,548.71922216987969,11.887331502813808,13.301128752950817,35.61626250844094
T025,TIMING_EXPERIMENT,hybrid,0.077283581084795799,66.839474122440095,0.33527438350425492,0,19.899999999999999,TMAX_REACHED,0.30961823995328203,0.033709293035965301,165.94992576121501,925.25500971530494,1186.22437142988,25.698101634096201,28.770425873279301,6.1648666121330997,20.497,1.47000846595462,36.405300951367003,86.194972902288512,0.033709293035965301,0.21937521685758701,0.51940350383955203,0,0,OK,Productive objective v96j_fix1; no optimizer,HISTORICALLY_FAITHFUL,0,0,0,0,0,0,0,0,0
T025,TIMING_EXPERIMENT,hybrid,0.077283581084795799,66.839474122440095,0.33527438350425492,8.6517528080999977,19.899999999999999,TMAX_REACHED,0.29508928113226801,0.0315097190169863,166.32767869056099,971.84322739529102,1245.9528556349901,26.9920462659226,30.2190674361525,6.1648666121330997,20.497,1.47000846595462,37.853942514240202,90.076806797767901,0.0315097190169863,0.227586549708689,0.54156233951505095,0,0,OK,Productive objective v96j_fix1; no optimizer,CURRENT_LOWER_BOUND,-0.0021995740189790017,0.0082113328511019823,0.022158835675498922,0.3777529293459736,46.588217679986087,59.728484205110135,1.293944631826399,1.448641562873199,3.8818338954793887
