10.00	33.9
10.00	33.6
10.02	33.4
10.02	33.1
10.03	32.9
10.03	32.8
10.05	32.7
10.05	32.6
10.07	32.6
10.07	32.5
10.08	32.4
10.08	32.4
10.10	32.1
10.10	31.6
10.12	31.2
10.12	30.8
10.13	30.6
10.13	30.2
10.15	29.9
10.15	29.8
10.17	29.9
10.17	30.2
10.18	30.4
10.18	30.6
10.20	30.8
10.20	31.0
10.22	31.1
10.22	31.2
10.23	31.2
10.23	31.2
10.25	31.2
10.25	31.3
10.27	31.3
10.27	31.3
10.28	31.2
10.28	31.1
10.30	31.0
10.30	30.9
10.32	30.9
10.32	31.0
10.33	31.0
10.33	31.0
10.35	31.0
10.35	31.1
10.37	31.3
10.37	31.5
10.38	31.7
10.38	31.8
10.40	31.9
10.40	32.0
10.42	32.0
10.42	31.9
10.43	31.8
10.43	31.6
10.45	31.5
10.45	31.3
10.47	31.1
10.47	30.9
10.48	30.8
10.48	30.7
10.50	30.7
10.50	30.7
10.52	30.7
10.52	30.8
10.53	30.9
10.53	30.9
10.55	31.0
10.55	31.0
10.57	31.1
10.57	31.1
10.58	31.3
10.58	31.4
10.60	31.5
10.60	31.6
10.62	31.6
10.62	31.7
10.63	31.8
10.63	31.8
10.65	31.8
10.65	31.7
10.67	31.7
10.67	31.7
10.68	31.6
10.68	31.6
10.70	31.6
10.70	31.5
10.72	31.5
10.72	31.5
10.73	31.6
10.73	31.7
10.75	31.7
10.75	31.8
10.77	31.8
10.88	32.6
10.90	32.7
10.90	32.8
10.92	32.9
10.92	32.9
10.93	33.1
10.93	33.2
10.95	33.2
10.95	33.3
10.97	33.4
10.97	33.6
10.98	33.7
10.98	33.8
11.00	33.9
11.00	34.0
11.02	34.1
11.02	34.2
11.03	34.3
11.03	34.4
11.05	34.5
11.05	34.7
11.07	34.8
11.07	35.0
11.08	35.0
11.08	35.1
11.10	35.2
11.10	35.4
11.12	35.4
11.12	35.4
11.13	35.4
11.13	35.4
11.15	35.5
11.15	35.5
11.17	35.5
11.17	35.6
11.18	35.7
11.18	35.7
11.20	35.7
11.20	35.6
11.22	35.6
11.22	35.6
11.23	35.5
11.23	35.3
11.25	35.2
11.25	35.1
11.27	35.1
11.27	35.0
11.28	34.9
11.28	34.9
11.30	34.7
11.30	34.6
11.32	34.6
11.32	34.6
11.33	34.6
11.33	34.6
11.35	34.7
11.35	34.8
11.37	34.8
11.37	34.8
11.38	34.8
11.38	34.8
11.40	34.8
11.40	34.7
11.42	34.6
11.42	34.5
11.43	34.5
11.43	34.4
11.45	34.4
11.45	34.5
11.47	34.5
11.47	34.5
11.48	34.5
11.48	34.6
11.50	34.7
11.50	34.7
11.52	34.7
11.52	34.8
11.53	34.8
11.53	34.8
11.55	34.8
11.55	34.8
11.57	34.7
11.57	34.7
11.58	34.6
11.58	34.5
11.60	34.5
11.60	34.5
11.62	34.5
11.62	34.4
11.63	34.4
11.63	34.5
11.65	34.5
11.65	34.5
11.67	34.6
11.67	34.6
11.68	34.5
11.68	34.5
11.70	34.4
11.70	34.4
11.72	34.3
11.72	34.3
11.73	34.2
11.73	34.0
11.75	33.9
11.75	33.8
11.77	33.7
11.77	33.7
11.78	33.8
11.78	33.9
11.80	33.9
11.80	34.0
11.82	34.1
11.82	34.3
11.83	34.4
11.83	34.5
11.85	34.5
11.85	34.6
11.87	34.6
11.87	34.6
11.88	34.7
11.88	34.7
11.90	34.7
11.90	34.8
11.92	34.9
11.92	35.2
11.93	35.4
11.93	35.7
11.95	36.1
11.95	36.5
11.97	36.9
11.97	37.3
11.98	37.6
11.98	37.9
12.00	38.1
12.00	38.2
12.02	38.4
12.02	38.6
12.03	38.7
12.03	38.8
12.05	38.9
12.05	39.0
12.07	39.0
12.07	39.0
12.08	38.9
12.08	38.7
12.10	38.5
12.10	38.3
12.12	38.2
12.12	38.3
12.13	38.4
12.13	38.7
12.15	39.0
12.15	39.3
12.17	39.5
12.17	39.7
12.18	39.8
12.18	39.7
12.20	39.7
12.20	39.5
12.22	39.3
12.22	39.3
12.23	39.3
12.23	39.5
12.25	39.7
12.25	39.9
12.27	40.2
12.27	40.4
12.28	40.7
12.28	40.8
12.30	40.9
12.30	41.0
12.32	41.0
12.32	41.0
12.33	41.1
12.33	41.2
12.35	41.3
12.35	41.5
12.37	41.7
12.37	41.8
12.38	41.9
12.38	42.1
12.40	42.2
12.40	42.3
12.42	42.4
12.42	42.5
12.43	42.5
12.43	42.5
12.45	42.5
12.45	42.5
12.47	42.5
12.47	42.5
12.48	42.5
12.48	42.6
12.50	42.7
12.50	42.6
12.52	42.5
12.52	42.5
12.53	42.5
12.53	42.5
12.55	42.7
12.55	42.8
12.57	42.9
12.57	43.0
12.58	43.1
12.58	43.2
12.60	43.3
12.60	43.3
12.62	43.4
12.62	43.4
12.63	43.5
12.63	43.6
12.65	43.8
12.65	43.9
12.67	44.0
12.67	44.2
12.68	44.4
12.68	44.5
12.70	44.6
12.70	44.7
12.72	44.7
12.72	44.6
12.73	44.6
12.73	44.6
12.75	44.7
12.75	44.8
12.77	44.9
12.77	45.0
12.78	45.1
12.78	45.1
12.80	45.1
12.80	45.1
12.82	45.1
12.82	45.1
12.83	45.1
12.83	45.1
12.85	45.2
12.85	45.2
12.87	45.2
12.87	45.1
12.88	44.9
12.88	44.8
12.90	44.7
12.90	44.7
12.92	44.7
13.08	44.7
13.10	44.7
13.10	44.7
13.12	44.7
13.12	44.7
13.13	44.7
13.20	43.5
13.22	43.4
13.22	43.3
13.23	43.3
13.23	43.4
13.25	43.5
13.25	43.6
13.27	43.7
13.27	43.7
13.28	43.7
13.28	43.7
13.30	43.8
13.30	43.9
13.32	44.1
13.32	44.2
13.33	44.4
13.42	45.3
13.43	45.4
13.43	45.5
13.45	45.6
13.45	45.7
13.47	45.8
13.47	45.9
13.48	46.0
13.48	46.1
13.50	46.3
13.50	46.4
13.52	46.5
13.52	46.6
13.53	46.6
13.53	46.7
13.55	46.6
13.55	46.6
13.57	46.7
13.57	46.7
13.58	46.7
13.58	46.6
13.60	46.6
13.60	46.6
13.62	46.5
13.62	46.3
13.63	46.2
13.63	46.0
13.65	45.9
13.65	45.8
13.67	45.8
13.67	45.8
13.68	45.9
13.68	45.9
13.70	46.0
13.70	46.0
13.72	45.9
13.72	46.0
13.73	46.1
13.73	46.3
13.75	46.2
13.75	45.9
13.77	45.7
13.77	45.6
13.78	45.5
13.78	45.1
13.80	44.7
13.80	44.5
13.82	44.5
13.82	44.5
13.83	44.8
13.83	44.9
13.85	45.0
13.85	45.0
13.87	45.0
13.87	45.1
13.88	45.3
13.88	45.4
13.90	45.4
13.90	45.1
13.92	44.7
13.92	44.4
