13.10	42.39	29.49
13.12	42.51	29.44
13.12	42.64	29.49
13.13	42.77	29.45
13.20	43.07	29.30
13.22	42.90	29.11
13.22	42.82	29.18
13.23	42.80	29.25
13.23	42.87	29.26
13.25	42.91	29.27
13.25	42.98	29.28
13.27	43.07	29.29
13.27	43.10	29.30
13.28	43.12	29.31
13.28	43.15	29.32
13.30	43.22	29.33
13.30	43.28	29.34
13.32	43.40	29.48
13.32	43.54	29.71
13.33	43.68	29.95
13.42	44.59	30.59
13.43	44.71	30.69
13.43	44.80	30.79
13.45	44.88	30.97
13.45	44.99	30.96
13.47	45.10	31.07
13.47	45.21	31.02
13.48	45.29	31.35
13.48	45.38	31.32
13.50	45.47	31.16
13.50	45.58	31.30
13.52	45.69	31.44
13.52	45.79	31.49
13.53	45.86	31.53
13.53	45.90	31.67
13.55	45.90	31.73
13.55	45.90	31.76
13.57	45.94	31.72
13.57	46.00	31.76
13.58	46.02	31.73
13.58	46.00	31.86
13.60	45.98	31.82
13.60	45.97	31.85
13.62	45.91	31.91
13.62	45.80	31.77
13.63	45.67	31.82
13.63	45.53	31.79
13.65	45.44	31.83
13.65	45.35	31.77
13.67	45.33	31.80
13.67	45.31	31.81
13.68	45.30	31.80
13.68	45.33	31.81
13.70	45.38	31.81
13.70	45.41	31.82
13.72	45.37	31.79
13.72	45.39	31.82
13.73	45.48	31.80
13.73	45.60	31.92
13.75	45.62	32.04
13.75	45.48	32.10
13.77	45.31	31.85
13.77	45.19	31.92
13.78	45.10	31.87
13.78	44.87	31.92
13.80	44.52	32.05
13.80	44.29	31.92
13.82	44.19	31.75
13.82	44.19	31.71
13.83	44.30	31.66
13.83	44.41	31.83
13.85	44.46	31.78
13.85	44.46	31.83
13.87	44.47	31.72
13.87	44.51	31.81
13.88	44.67	31.80
13.88	44.84	31.92
13.90	44.91	31.89
13.90	44.79	31.90
13.92	44.47	31.90
13.92	44.17	31.80
13.93	43.99	31.83
13.93	43.98	31.81
13.95	44.01	31.83
13.95	44.07	31.80
13.97	44.18	31.73
13.97	44.32	31.70
13.98	44.49	31.72
13.98	44.64	31.77
14.00	44.77	31.92
14.27	45.41	32.89
14.27	45.32	32.85
14.28	45.31	32.77
14.28	45.33	32.84
14.30	45.33	32.83
14.30	45.34	32.67
