seed,row,source,x,f,inclusion,reason
61001,31,population,"[0.09104290480287056, 65.96030752159879, 0.5692593271289389, 10.060917734575252]","[0.026112143625820882, 0.24662443345799337, 0.5929554291193696]",INCLUDED_BEFORE_EXACT_DEDUP,
61001,32,population,"[0.1296825926372298, 65.10416070185771, 0.6457609832951636, 9.919624237406845]","[0.013236482509686306, 0.33206821893497823, 0.8227998763593255]",INCLUDED_BEFORE_EXACT_DEDUP,
61001,33,population,"[0.1390636337607944, 65.77009570505258, 0.5914857831860142, 9.999402029704047]","[0.00901817255018443, 0.3673126293119692, 0.9175274057860624]",INCLUDED_BEFORE_EXACT_DEDUP,
61002,1,returned,"[0.07030589291313223, 55.608523014936495, 0.15822045943515306, 2.8136692515346233]","[0.2515449894943244, 0.18930240830031614, 0.41889929155461103]",INCLUDED_BEFORE_EXACT_DEDUP,
61002,2,returned,"[0.19613779875277193, 66.44332955989745, 0.324562861907893, 2.0371868256744827]","[0.003538436999063138, 0.5403589491804578, 1.3814442062386951]",INCLUDED_BEFORE_EXACT_DEDUP,
61002,3,returned,"[0.1065446841324467, 63.26149048430891, 0.1506451934737153, 3.0407872594976486]","[0.0330204491820506, 0.29968341238196927, 0.7346490922863016]",INCLUDED_BEFORE_EXACT_DEDUP,
61002,4,returned,"[0.07030759866919663, 52.250905074848156, 0.14037284311134152, 3.0713699739276294]","[0.3381941510297868, 0.1913707683080165, 0.4128725887784405]",INCLUDED_BEFORE_EXACT_DEDUP,
61002,5,returned,"[0.1834020448805001, 65.99242193279778, 0.24746445696676866, 2.1260933917182263]","[0.004457266978354036, 0.5304302019550556, 1.3549290746092852]",INCLUDED_BEFORE_EXACT_DEDUP,
61002,6,returned,"[0.16543651836188517, 66.00067533897625, 0.3261931155722214, 2.0980088201271645]","[0.005674361028467562, 0.45049407365993877, 1.1406479327785553]",INCLUDED_BEFORE_EXACT_DEDUP,
61002,7,returned,"[0.13085071259004077, 63.437269219646616, 0.20133932396448606, 2.6919826094602834]","[0.019686704257985535, 0.36127189016063127, 0.9006141300330816]",INCLUDED_BEFORE_EXACT_DEDUP,
61002,8,returned,"[0.07385711342942602, 58.50590547565709, 0.16568199109336196, 2.6722050890586284]","[0.17152881822142446, 0.19637251783468154, 0.4463789286461369]",INCLUDED_BEFORE_EXACT_DEDUP,
61002,9,returned,"[0.08870210055473665, 64.4863681105515, 0.20652302045065546, 2.6336210412288503]","[0.03900015931954097, 0.24743036939680874, 0.5942043196756909]",INCLUDED_BEFORE_EXACT_DEDUP,
61002,10,population,"[0.1993061726415685, 66.440030664902, 0.2121733796926858, 1.935303108508553]","[0.003588230553677584, 0.5900020639642408, 1.5141632759363932]",INCLUDED_BEFORE_EXACT_DEDUP,
61002,11,population,"[0.07030591309024849, 55.55708139562511, 0.16244553178864446, 3.017387715233558]","[0.25356181997825006, 0.18942261982846126, 0.4189826647698002]",INCLUDED_BEFORE_EXACT_DEDUP,
61002,12,population,"[0.07030589291313223, 55.611306898999274, 0.17763338323666705, 3.101972610791968]","[0.25511173300835654, 0.18951482630819, 0.4190453892240113]",INCLUDED_BEFORE_EXACT_DEDUP,
61002,13,population,"[0.07030589291313223, 55.608523014936495, 0.15822045943515306, 2.8136692515346233]","[0.2515449894943244, 0.18930240830031614, 0.41889929155461103]",INCLUDED_BEFORE_EXACT_DEDUP,
61002,14,population,"[0.1614087627918724, 56.99680506035, 0.19524368235172715, 2.498867401268096]","[0.061828928295606815, 0.381253189162917, 0.9511263336745028]",INCLUDED_BEFORE_EXACT_DEDUP,
61002,15,population,"[0.07030589569421873, 55.58706186631821, 0.16013535457732425, 2.9192402243568867]","[0.2524048568647157, 0.18936001437314443, 0.41895202235097606]",INCLUDED_BEFORE_EXACT_DEDUP,
61002,16,population,"[0.19613779875277193, 66.44332955989745, 0.324562861907893, 2.0371868256744827]","[0.003538436999063138, 0.5403589491804578, 1.3814442062386951]",INCLUDED_BEFORE_EXACT_DEDUP,
61002,17,population,"[0.1973530476415685, 66.440030664902, 0.2121733796926858, 1.936565773303475]","[0.003540316806184036, 0.5869954717728639, 1.5062614784095152]",INCLUDED_BEFORE_EXACT_DEDUP,
61002,18,population,"[0.1065446841324467, 63.26149048430891, 0.1506451934737153, 3.0407872594976486]","[0.0330204491820506, 0.29968341238196927, 0.7346490922863016]",INCLUDED_BEFORE_EXACT_DEDUP,
61002,19,population,"[0.0813747932297093, 62.50679408212814, 0.19128638140078125, 2.6498184466450434]","[0.07463302631174286, 0.22040023632522826, 0.5191233606002286]",INCLUDED_BEFORE_EXACT_DEDUP,
61002,20,population,"[0.07030759866919663, 52.250905074848156, 0.14037284311134152, 3.0713699739276294]","[0.3381941510297868, 0.1913707683080165, 0.4128725887784405]",INCLUDED_BEFORE_EXACT_DEDUP,
61002,21,population,"[0.0898049724627719, 59.90024682404996, 0.14392416963750793, 2.7025292341187312]","[0.10105460486794278, 0.2364565508280166, 0.56004785057039]",INCLUDED_BEFORE_EXACT_DEDUP,
61002,22,population,"[0.1834020448805001, 65.99242193279778, 0.24746445696676866, 2.1260933917182263]","[0.004457266978354036, 0.5304302019550556, 1.3549290746092852]",INCLUDED_BEFORE_EXACT_DEDUP,
61002,23,population,"[0.16543651836188517, 66.00067533897625, 0.3261931155722214, 2.0980088201271645]","[0.005674361028467562, 0.45049407365993877, 1.1406479327785553]",INCLUDED_BEFORE_EXACT_DEDUP,
61002,24,population,"[0.07221786446753603, 53.222333619750756, 0.1410932417796679, 2.827672008822578]","[0.30504809736495675, 0.19281474694294876, 0.421508214200428]",INCLUDED_BEFORE_EXACT_DEDUP,
61002,25,population,"[0.13085071259004077, 63.437269219646616, 0.20133932396448606, 2.6919826094602834]","[0.019686704257985535, 0.36127189016063127, 0.9006141300330816]",INCLUDED_BEFORE_EXACT_DEDUP,
61002,26,population,"[0.0909912500986195, 60.59754060892174, 0.2963457304978135, 2.914700886711013]","[0.08934028710971265, 0.2272160857689672, 0.5362331267513734]",INCLUDED_BEFORE_EXACT_DEDUP,
61002,27,population,"[0.07030759866919663, 52.250905074848156, 0.14134940561134152, 3.0713699739276294]","[0.33838440921504404, 0.19138417570895983, 0.4128797787988861]",INCLUDED_BEFORE_EXACT_DEDUP,
61002,28,population,"[0.16308460444101183, 55.63223252844477, 0.22030365216041337, 2.6945113525602236]","[0.08174261367121242, 0.3688583016054978, 0.9163837729230279]",INCLUDED_BEFORE_EXACT_DEDUP,
61002,29,population,"[0.07385711342942602, 58.50590547565709, 0.16568199109336196, 2.6722050890586284]","[0.17152881822142446, 0.19637251783468154, 0.4463789286461369]",INCLUDED_BEFORE_EXACT_DEDUP,
61002,30,population,"[0.1781684112224111, 63.69403792376315, 0.17829812613683083, 2.8494954110814956]","[0.00926131026848605, 0.5089947590643242, 1.2971677404846467]",INCLUDED_BEFORE_EXACT_DEDUP,
61002,31,population,"[0.08870210055473665, 64.4863681105515, 0.20652302045065546, 2.6336210412288503]","[0.03900015931954097, 0.24743036939680874, 0.5942043196756909]",INCLUDED_BEFORE_EXACT_DEDUP,
61002,32,population,"[0.14999012364032221, 64.32733200492962, 0.27257633940602144, 2.3353998331542716]","[0.011441808236809728, 0.40623550507135664, 1.0216629748434936]",INCLUDED_BEFORE_EXACT_DEDUP,
