seed,A_count,N_count,objective_count,contribution,exclusive,contribution_fraction,igd_plus,hv,outside_reference,extremes
61001,22,11,10,8,8,0.36363636363636365,0.012680868410250836,1.1401320402221902,0,"[5.320087268532522e-05, 0.009761121692438911, 0.013594912000508568]"
61002,24,11,11,0,0,0.0,0.036593791295220654,1.0862828314285418,1,"[5.318627234053179e-05, 0.015329625087757792, 0.010923017255392678]"
61003,23,9,9,9,9,0.4090909090909091,0.01602298849546996,1.1294675036910558,0,"[4.77396124553273e-05, 0.0, 0.0]"
61004,21,10,10,4,4,0.18181818181818182,0.02968353427953785,1.105724295816171,0,"[0.0, 0.013892912925065299, 0.013450819684603288]"
61005,22,8,8,1,1,0.045454545454545456,0.07675334831002154,0.9136035563503812,1,"[0.008395680533017565, 0.012271687377478458, 0.006889990216457626]"
