replicate_id,seed,populationSize,maxGenerations,confirm_execute,run_status,rngControl,runtime_s,runtime_h,nSolutions,nFiniteRows,minMR,minCost,minCO2,output_mat,error_message
S1,61001,8,5,1,OK,EXTERNAL_SEED_APPLIED,2949.8117191,0.819392144194445,3,3,0.0292811175813945,0.291151969418392,1.18400114040249,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\06_manuscript\article_Q1\runs\SEEDAWARE_SMOKE_SEED_DIFF_v96z_rngfix_20260630_130846\S1\SEEDAWARE_SMOKE_S1_seed_61001_output.mat,
S2,61002,8,5,1,OK,EXTERNAL_SEED_APPLIED,2772.6782873,0.770188413138889,5,5,0.0298747575230178,0.264961915983762,0.91537388790689,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\06_manuscript\article_Q1\runs\SEEDAWARE_SMOKE_SEED_DIFF_v96z_rngfix_20260630_130846\S2\SEEDAWARE_SMOKE_S2_seed_61002_output.mat,
