Case,Q_aux_eta_0p50_kWh,Q_aux_eta_2SAH_kWh,Delta_Q_aux_pct,MR_eta_0p50,MR_eta_2SAH,Ranking_preserved
H2_historical,807.024105756802,746.998692636637,-7.43787114808362,0.0444828358007776,0.0444828358007776,Yes
R1_solution_7,707.174805692204,656.225753298297,-7.2045909984076,0.0719758233190115,0.0705698097386457,Yes
R1_solution_3,787.593540569231,723.360410178502,-8.15561924800763,0.0548639767992437,0.0549302023474136,Yes
R1_solution_9,1286.58645761099,1218.4069486839,-5.29925591271104,0.013876256374361,0.013876256374361,Yes
