case_name,Q_aux_hybrid_kWh,Q_aux_gasLP_kWh,Q_aux_reduction_kWh,Q_aux_reduction_pct,MR_hybrid,MR_gasLP,MR_delta_hybrid_minus_gasLP,Solar_energy_hybrid_kWh,Solar_energy_gasLP_kWh,MR_feasible_hybrid,MR_feasible_gasLP,interpretation
H2_historical,746.998692636637,1292.55957433375,545.560881697112,42.2077939408187,0.0444828358007776,0.0444828358007776,0,357.848012894498,0,1,1,Historical deeper-drying reference
R1_solution_7,656.225753298297,1194.11128808699,537.885534788688,45.0448413104278,0.0705698097386457,0.0719921651471259,-0.00142235540848022,357.848012894498,0,1,1,Energy-saving feasible candidate
R1_solution_3,723.360410178502,1270.57800973033,547.217599551831,43.068398426632,0.0549302023474136,0.0548628634960883,6.73388513253298e-05,357.848012894498,0,1,1,Balanced feasible candidate
R1_solution_9,1218.4069486839,1773.86697761099,555.460028927093,31.3135108741454,0.013876256374361,0.013876256374361,0,357.848012894498,0,1,1,Aggressive drying boundary case
