file,folder,path,bytes,modified,nVariables,variable_names,has_formal,has_X,has_F,has_Tsolutions,has_Tsummary,has_Tbounds,has_Tgaopts,has_population_scores,load_status,error_message,article_value
TRIOBJECTIVE_SMOKE_GA_v96k_hybrid_raw.mat,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\05_runs\triobjective_smoke_ga_v96k\TRIOBJECTIVE_SMOKE_GA_v96k_20260627_122351\mat,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\05_runs\triobjective_smoke_ga_v96k\TRIOBJECTIVE_SMOKE_GA_v96k_20260627_122351\mat\TRIOBJECTIVE_SMOKE_GA_v96k_hybrid_raw.mat,9087,27-jun.-2026 13:33:25,13,"F, X, errMsg, exitflag, lb, mode, opts, output, population, run_status, runtime_s, scores, ub",0,1,1,0,0,0,0,1,OK,,Seed-control smoke validation; not final optimization result.
TRIOBJECTIVE_SMOKE_GA_v96k_gasLP_raw.mat,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\05_runs\triobjective_smoke_ga_v96k\TRIOBJECTIVE_SMOKE_GA_v96k_20260627_122351\mat,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\05_runs\triobjective_smoke_ga_v96k\TRIOBJECTIVE_SMOKE_GA_v96k_20260627_122351\mat\TRIOBJECTIVE_SMOKE_GA_v96k_gasLP_raw.mat,9074,27-jun.-2026 13:29:10,13,"F, X, errMsg, exitflag, lb, mode, opts, output, population, run_status, runtime_s, scores, ub",0,1,1,0,0,0,0,1,OK,,Seed-control smoke validation; not final optimization result.
TRIOBJECTIVE_CO2_OBJECTIVE_FIX_v96j_b.mat,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\05_runs\triobjective_CO2_objective_fix_v96j_b\TRIOBJECTIVE_CO2_OBJECTIVE_FIX_v96j_b_20260627_121752\mat,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\05_runs\triobjective_CO2_objective_fix_v96j_b\TRIOBJECTIVE_CO2_OBJECTIVE_FIX_v96j_b_20260627_121752\mat\TRIOBJECTIVE_CO2_OBJECTIVE_FIX_v96j_b.mat,8703,27-jun.-2026 13:19:41,30,"CO2_gas, CO2_hyb, CO2_reduction_pct, MR_gas_diff, MR_gas_recalc, MR_hyb_diff, MR_hyb_recalc, MR_vs_v95_gas_diff, MR_vs_v95_hyb_diff, Tchecks, Teval, Tsource, cost_vs_v95_gas_diff, cost_vs_v95_hyb_diff, diagnosis, fixDir, fixFlags, objective_v628b, objective_v95j, objective_v96j_bad, objective_v96j_fix1, outChecksCsv, outEvalCsv, outMat, outMd, outSourceCsv, outTxt, wrapper_v10, wrapper_v17, wrapper_v18",0,0,0,0,0,0,0,0,OK,,Optimization/front data candidate.
TRIOBJECTIVE_CO2_OBJECTIVE_IMPLEMENTATION_v96j.mat,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\05_runs\triobjective_CO2_objective_implementation_v96j\TRIOBJECTIVE_CO2_OBJECTIVE_IMPLEMENTATION_v96j_20260627_120708\mat,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\05_runs\triobjective_CO2_objective_implementation_v96j\TRIOBJECTIVE_CO2_OBJECTIVE_IMPLEMENTATION_v96j_20260627_120708\mat\TRIOBJECTIVE_CO2_OBJECTIVE_IMPLEMENTATION_v96j.mat,9086,27-jun.-2026 13:08:27,31,"CO2_gas, CO2_hyb, CO2_reduction_pct, MR_gas_diff, MR_gas_recalc, MR_hyb_diff, MR_hyb_recalc, MR_obj_gas_diff, MR_obj_hyb_diff, Tchecks, Teval, Tsource, cost_gas_diff, cost_hyb_diff, designDir, diagnosis, implDir, implFlags, objective_v628b, objective_v95j, objective_v96j, outChecksCsv, outEvalCsv, outMat, outMd, outSourceCsv, outTxt, wrapper_v10, wrapper_v17, wrapper_v18, x_selected",0,0,0,0,0,0,0,0,OK,,Optimization/front data candidate.
TRIOBJECTIVE_CO2_REFACTOR_DESIGN_v96i.mat,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\05_runs\triobjective_CO2_refactor_design_v96i\TRIOBJECTIVE_CO2_REFACTOR_DESIGN_v96i_20260627_120026\mat,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\05_runs\triobjective_CO2_refactor_design_v96i\TRIOBJECTIVE_CO2_REFACTOR_DESIGN_v96i_20260627_120026\mat\TRIOBJECTIVE_CO2_REFACTOR_DESIGN_v96i.mat,9648,27-jun.-2026 13:00:26,22,"Tinputs, Tobjectives, Trequirements, Tvalidation, designDir, designFlags, diagnosis, factorPolicy, gateDir, objective_v95j, outInputsCsv, outMat, outMd, outObjectivesCsv, outReqCsv, outTxt, outValCsv, proposed_formal_v96m, proposed_objective_v96j, proposed_smoke_v96k, recheckDir, wrapper_v18",0,0,0,0,0,0,0,0,OK,,Optimization/front data candidate.
CO2_OBJECTIVE_REINTEGRATION_DECISION_GATE_v96gbis.mat,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\05_runs\co2_objective_reintegration_gate_v96gbis\CO2_OBJECTIVE_REINTEGRATION_DECISION_GATE_v96gbis_20260627_114231\mat,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\05_runs\co2_objective_reintegration_gate_v96gbis\CO2_OBJECTIVE_REINTEGRATION_DECISION_GATE_v96gbis_20260627_114231\mat\CO2_OBJECTIVE_REINTEGRATION_DECISION_GATE_v96gbis.mat,11281,27-jun.-2026 12:43:08,25,"Tclaims, Trequirements, Troutes, co2DesignDir, current_nobj_gas, current_nobj_hybrid, d_gas, d_hybrid, decision, diagnosis, f_gas, f_hybrid, gateDir, gateFlags, objective_v95j, outClaimsCsv, outMat, outMd, outReqCsv, outRoutesCsv, outTxt, recheckDir, recommendedRoute, wrapper_v18, x_selected",0,0,0,0,0,0,0,0,OK,,Optimization/front data candidate.
CO2_POSTPROCESS_DESIGN_OPTION_A_v96g.mat,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\05_runs\co2_postprocess_design_v96g\CO2_POSTPROCESS_DESIGN_OPTION_A_v96g_20260627_113359\mat,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\05_runs\co2_postprocess_design_v96g\CO2_POSTPROCESS_DESIGN_OPTION_A_v96g_20260627_113359\mat\CO2_POSTPROCESS_DESIGN_OPTION_A_v96g.mat,10621,27-jun.-2026 12:33:59,21,"Tclaims, Tinputs, Tmethod, Toutputs, Tvalidation, defaultFactors, designDir, designFlags, diagnosis, functionPlan, gateDir, objectiveCandidate, outClaimsCsv, outInputsCsv, outMat, outMd, outMethodCsv, outOutputsCsv, outTxt, outValidationCsv, recheckDir",0,0,0,0,0,0,0,0,OK,,Optimization/front data candidate.
MINIMAL_PHYSICS_AUDIT_RECHECK_v95k.mat,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\05_runs\minimal_physics_recheck_v95k\MINIMAL_PHYSICS_AUDIT_RECHECK_v95k_20260627_112826\mat,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\05_runs\minimal_physics_recheck_v95k\MINIMAL_PHYSICS_AUDIT_RECHECK_v95k_20260627_112826\mat\MINIMAL_PHYSICS_AUDIT_RECHECK_v95k.mat,9576,27-jun.-2026 12:29:21,32,"MR_gas_diff, MR_gas_recalc, MR_hyb_diff, MR_hyb_recalc, Tchecks, Teval, Tsource, delta_MR, delta_Q_aux, delta_cost, delta_dry_time, diagnosis, gateDir, guard_v628b, implDir, objective_v628b, objective_v95j, outChecksCsv, outEvalCsv, outMat, outMd, outSourceCsv, outTxt, recheckDir, recheckFlags, reduction_Q_aux_pct, reduction_cost_pct, varNames, wrapper_v10, wrapper_v17, wrapper_v18, x_selected",0,0,0,0,0,0,0,0,OK,,Optimization/front data candidate.
TMAX_ENDPOINT_CORRECTION_IMPLEMENTATION_v95j.mat,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\05_runs\tmax_endpoint_correction_implementation_v95j\TMAX_ENDPOINT_CORRECTION_IMPLEMENTATION_v95j_20260627_112301\mat,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\05_runs\tmax_endpoint_correction_implementation_v95j\TMAX_ENDPOINT_CORRECTION_IMPLEMENTATION_v95j_20260627_112301\mat\TMAX_ENDPOINT_CORRECTION_IMPLEMENTATION_v95j.mat,8602,27-jun.-2026 12:23:55,26,"MR_gas_diff, MR_gas_recalc, MR_hyb_diff, MR_hyb_recalc, Tchecks, Teval, Tsource, delta_MR, delta_Q_aux, delta_dry_time, designDir, diagnosis, implDir, implFlags, objective_v628b, objective_v95j, outChecksCsv, outEvalCsv, outMat, outMd, outSourceCsv, outTxt, reduction_Q_aux_pct, wrapper_v17, wrapper_v18, x_selected",0,0,0,0,0,0,0,0,OK,,Optimization/front data candidate.
TMAX_ENDPOINT_CORRECTION_DESIGN_v95i.mat,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\05_runs\tmax_endpoint_correction_design_v95i\TMAX_ENDPOINT_CORRECTION_DESIGN_v95i_20260627_111615\mat,C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\05_runs\tmax_endpoint_correction_design_v95i\TMAX_ENDPOINT_CORRECTION_DESIGN_v95i_20260627_111615\mat\TMAX_ENDPOINT_CORRECTION_DESIGN_v95i.mat,16705,27-jun.-2026 12:16:15,27,"MR_gas_diff, MR_gas_recalc, MR_hyb_diff, MR_hyb_recalc, Tassign, Tchecks95h, Teval95g, Tpatch, Treplacements, Trisks, Tvalidation, audit95gDir, designDir, designFlags, diagnosis, endpointDir, objective_v628b, outMat, outMd, outPatchCsv, outReplacementCsv, outRisksCsv, outTxt, outValidationCsv, proposed_objective_v95j, proposed_wrapper_v18, wrapper_v17",0,0,0,0,0,0,0,0,OK,,Optimization/front data candidate.
