run_id,nSolutions,minMR,minCost,minCO2,nMR_feasible_010
R1_seedaware_61001,9,0.014734459102959,0.246303839698573,0.893115176231881,7
legacy_v96m,9,0.0156236054537976,0.251596212109808,0.855920497066311,5
