case,MR,cost_specific_USD_per_kgwater,CO2_specific_kgCO2_per_kgwater
gasLP_reference,0.0960086491729676,0.377877584709771,1.68102998335545
hybrid_reference,0.0959172010556,0.265706336789,1.0584
