selection,solution_index,m_max,T_min,r_div2,t_rec_ini,MR,cost_specific_USD_per_kgwater,CO2_specific_kgCO2_per_kgwater,MR_feasible_010,cost_reduction_vs_gasLP_pct,CO2_reduction_vs_gasLP_pct,norm_L2_all_objectives
min_cost_all,1,0.0700461425280302,60.1565917725028,0.768305386189501,12.8784609406904,0.161225992904947,0.246303839698573,0.893115176231881,0,34.8191452298643,46.8709550052665,1
min_MR_all,9,0.0922636604667417,67.675076369967,0.432994031553454,13.828920062323,0.014734459102959,0.400134038181544,1.81565093840689,1,-5.88985808429636,-8.00824235048567,1.4142135623731
balanced_L2_all,3,0.0755184246822468,65.0538554446214,0.788632420409064,12.8744680049588,0.0582807544013254,0.277021807638618,1.1599939785415,1,26.6900660828072,30.9950452979983,0.460355544154851
min_cost_MR_le_0p1,7,0.0705015592632958,64.4291630767116,0.742590225104149,13.2547748075382,0.0761725501036987,0.258768636265087,1.05272232979027,1,31.5205117382567,37.3763502011451,0.460859744977595
balanced_L2_MR_le_0p1,3,0.0755184246822468,65.0538554446214,0.788632420409064,12.8744680049588,0.0582807544013254,0.277021807638618,1.1599939785415,1,26.6900660828072,30.9950452979983,0.460355544154851
