variable,unit,median_H,median_C,delta_median_C_minus_H,delta_median_normalized,range_H,range_C,occupied_range_normalized_H,occupied_range_normalized_C
m_max,kg/s,0.0790661252821967,0.0745255561018371,-0.0045405691803595966,-0.11351422950898993,0.02221751793871153,0.021659529023366805,0.5554379484677884,0.5414882255841702
T_min,degC,65.69628461176374,67.31301662947347,1.6167320177097224,0.16167320177097214,7.51848459746423,4.217275983825125,0.7518484597464224,0.4217275983825122
r_div2,dimensionless,0.7683053861895014,0.6385804527785922,-0.12972493341090918,-0.25944986682181836,0.3556383888556106,0.28114242823782626,0.7112767777112212,0.5622848564756525
t_rec_ini,h,13.218015646398698,12.602894710244598,-0.6151209361540992,-0.11501355754193804,0.9544520573642696,1.155363320047421,0.17846072238579425,0.21602653703015742
