source,nondominated_count,reference_label,reference_z1,reference_z2,reference_z3,reference_raw_f1,reference_raw_f2,reference_raw_f3,hypervolume,hv_direction_for_reference,primary_reference
H,9,r5,1.05,1.05,1.05,0.16855056959502848,0.28683040617832123,0.7020632109457835,0.8214144073536221,C_GT_H,NO
C,9,r5,1.05,1.05,1.05,0.16855056959502848,0.28683040617832123,0.7020632109457835,0.8596538595095115,C_GT_H,NO
H,9,r10,1.1,1.1,1.1,0.1758751462851271,0.29190294882964385,0.7162419475641507,0.9749820881940048,C_GT_H,YES
C,9,r10,1.1,1.1,1.1,0.1758751462851271,0.29190294882964385,0.7162419475641507,1.0099628901072748,C_GT_H,YES
H,9,r20,1.2,1.2,1.2,0.19052429966532428,0.3020480341322891,0.744599420800885,1.3323674498747686,C_GT_H,NO
C,9,r20,1.2,1.2,1.2,0.19052429966532428,0.3020480341322891,0.744599420800885,1.3592107397484303,C_GT_H,NO
