solution_id,source,f1,f2,f3,ParetoRank,is_joint_rank1,dominated_by_count_full_U,dominated_by_solution_ids_full_U,dominates_count_full_U,dominates_solution_ids_full_U,rank_layer_dominator_count,rank_layer_dominator_ids
H01,HIST_R1_REEVAL,0.1612259929049299,0.18030701050054604,0.4043097419600721,1,True,0,,0,,0,
H02,HIST_R1_REEVAL,0.01972677872136952,0.23841950853573274,0.5714115538663084,1,True,0,,1,C06,0,
H03,HIST_R1_REEVAL,0.05828075440129852,0.19941617063833772,0.46413468947681863,1,True,0,,0,,0,
H04,HIST_R1_REEVAL,0.02457691936192455,0.22430412334234848,0.5332519764143472,1,True,0,,0,,0,
H05,HIST_R1_REEVAL,0.04364029326634516,0.21059554013040163,0.49516643659138637,2,False,1,C04,0,,0,
H06,HIST_R1_REEVAL,0.1276954984367705,0.1833217803871849,0.41541905443579263,1,True,0,,0,,0,
H07,HIST_R1_REEVAL,0.07617255010363969,0.18737255918970133,0.43050206568236915,1,True,0,,0,,0,
H08,HIST_R1_REEVAL,0.017309193030289972,0.25205272041996435,0.6081095946589916,1,True,0,,1,C08,0,
H09,HIST_R1_REEVAL,0.01473445910295798,0.2817578635269986,0.6878844743274163,1,True,0,,0,,0,
C01,CORRECTED_R1,0.015163555853391462,0.2712071587404825,0.6595831664180842,1,True,0,,0,,0,
C02,CORRECTED_R1,0.0955252717045421,0.18471976529485853,0.4218617884956555,1,True,0,,0,,0,
C03,CORRECTED_R1,0.0976824159460894,0.18475249104828215,0.42177467537964236,1,True,0,,0,,0,
C04,CORRECTED_R1,0.035509414628851016,0.19958292469520714,0.4662395996524617,1,True,0,,1,H05,0,
C05,CORRECTED_R1,0.028886799370315748,0.21733365919792744,0.5142727514952378,1,True,0,,0,,0,
C06,CORRECTED_R1,0.02239970549598287,0.2413384494217395,0.5790487923268146,2,False,1,H02,0,,0,
C07,CORRECTED_R1,0.026511805459522943,0.22338322638493963,0.5306495452737388,1,True,0,,0,,0,
C08,CORRECTED_R1,0.018219453240328243,0.2547257477103099,0.6152099405567468,2,False,1,H08,0,,0,
C09,CORRECTED_R1,0.06592893450793702,0.1898535301772997,0.43793525200889427,1,True,0,,0,,0,
