metric,numerator,denominator,fraction,coverage,coverage_percent,source_set,target_set,dominance_definition
FULL_COVERAGE_C_OVER_H,1,9,1/9,0.1111111111111111,11.11111111111111,C,H,EXACT_FULL_PRECISION_NO_TOLERANCE
FULL_COVERAGE_H_OVER_C,2,9,2/9,0.2222222222222222,22.22222222222222,H,C,EXACT_FULL_PRECISION_NO_TOLERANCE
CORE_COVERAGE_NC_OVER_NH,1,9,1/9,0.1111111111111111,11.11111111111111,N_C,N_H,EXACT_FULL_PRECISION_NO_TOLERANCE
CORE_COVERAGE_NH_OVER_NC,2,9,2/9,0.2222222222222222,22.22222222222222,N_H,N_C,EXACT_FULL_PRECISION_NO_TOLERANCE
