objective,unit,median_H,median_C,delta_median_C_minus_H,delta_median_percent_C_minus_H,min_H,min_C,range_H,range_C,std_H,std_C,IQR_H,IQR_C
MR_final,dimensionless,0.04364029326634516,0.028886799370315748,-0.01475349389602941,-33.807045718015644,0.01473445910295798,0.015163555853391462,0.1464915338019719,0.08251886009269793,0.04956306229815267,0.03086869764934298,0.056445771382270166,0.04352922901195415
cost_specific_USD_per_kgwater,USD/kgwater,0.21059554013040163,0.21733365919792744,0.006738119067525805,3.1995544935821214,0.18030701050054604,0.18471976529485853,0.10145085302645257,0.08648739344562398,0.03272904503652415,0.02999186460633553,0.051046949346031406,0.05148491924443979
CO2_specific_kgCO2_per_kgwater,kgCO2/kgwater,0.49516643659138637,0.5142727514952378,0.019106314903851396,3.8585642103238946,0.4043097419600721,0.42177467537964236,0.2835747323673442,0.23780849103844187,0.09085684090882361,0.08230118179233056,0.14090948818393922,0.14111354031792034
