h_id,c_id,h_f1,h_f2,h_f3,c_f1,c_f2,c_f3,delta_f1_C_minus_H,delta_f2_C_minus_H,delta_f3_C_minus_H,c_le_h_f1,c_le_h_f2,c_le_h_f3,h_le_c_f1,h_le_c_f2,h_le_c_f3,c_any_strictly_lower,h_any_strictly_lower,classification
H01,C01,0.1612259929049299,0.18030701050054604,0.4043097419600721,0.015163555853391462,0.2712071587404825,0.6595831664180842,-0.14606243705153843,0.09090014823993647,0.25527342445801215,True,False,False,False,True,True,True,True,INCOMPARABLE
H01,C02,0.1612259929049299,0.18030701050054604,0.4043097419600721,0.0955252717045421,0.18471976529485853,0.4218617884956555,-0.0657007212003878,0.004412754794312496,0.0175520465355834,True,False,False,False,True,True,True,True,INCOMPARABLE
H01,C03,0.1612259929049299,0.18030701050054604,0.4043097419600721,0.0976824159460894,0.18475249104828215,0.42177467537964236,-0.0635435769588405,0.004445480547736108,0.017464933419570283,True,False,False,False,True,True,True,True,INCOMPARABLE
H01,C04,0.1612259929049299,0.18030701050054604,0.4043097419600721,0.035509414628851016,0.19958292469520714,0.4662395996524617,-0.12571657827607888,0.019275914194661098,0.06192985769238962,True,False,False,False,True,True,True,True,INCOMPARABLE
H01,C05,0.1612259929049299,0.18030701050054604,0.4043097419600721,0.028886799370315748,0.21733365919792744,0.5142727514952378,-0.13233919353461415,0.0370266486973814,0.10996300953516569,True,False,False,False,True,True,True,True,INCOMPARABLE
H01,C06,0.1612259929049299,0.18030701050054604,0.4043097419600721,0.02239970549598287,0.2413384494217395,0.5790487923268146,-0.13882628740894704,0.06103143892119345,0.17473905036674253,True,False,False,False,True,True,True,True,INCOMPARABLE
H01,C07,0.1612259929049299,0.18030701050054604,0.4043097419600721,0.026511805459522943,0.22338322638493963,0.5306495452737388,-0.13471418744540695,0.04307621588439359,0.12633980331366668,True,False,False,False,True,True,True,True,INCOMPARABLE
H01,C08,0.1612259929049299,0.18030701050054604,0.4043097419600721,0.018219453240328243,0.2547257477103099,0.6152099405567468,-0.14300653966460164,0.07441873720976389,0.21090019859667475,True,False,False,False,True,True,True,True,INCOMPARABLE
H01,C09,0.1612259929049299,0.18030701050054604,0.4043097419600721,0.06592893450793702,0.1898535301772997,0.43793525200889427,-0.09529705839699287,0.009546519676753656,0.033625510048822194,True,False,False,False,True,True,True,True,INCOMPARABLE
H02,C01,0.01972677872136952,0.23841950853573274,0.5714115538663084,0.015163555853391462,0.2712071587404825,0.6595831664180842,-0.004563222867978058,0.032787650204749774,0.08817161255177586,True,False,False,False,True,True,True,True,INCOMPARABLE
