objective,scale_min,scale_min_solution_id,scale_max,scale_max_solution_id,scale_range,zero_range,normalization_shared
f1,0.01473445910295798,H09,0.1612259929049299,H01,0.1464915338019719,NO,YES
f2,0.18030701050054604,H01,0.2817578635269986,H09,0.10145085302645257,NO,YES
f3,0.4043097419600721,H01,0.6878844743274163,H09,0.2835747323673442,NO,YES
