source,objective,unit,direction,n,min,min_solution_id,max,max_solution_id,mean,median,std,std_convention,q1,q3,IQR,quartile_convention,range
HIST_R1_REEVAL,MR_final,dimensionless,minimize,9,0.01473445910295798,H09,0.1612259929049299,H01,0.060373604369947306,0.04364029326634516,0.04956306229815267,POPULATION_DDOF_0,0.01972677872136952,0.07617255010363969,0.056445771382270166,HYNDMAN_FAN_TYPE_7,0.1464915338019719
HIST_R1_REEVAL,cost_specific_USD_per_kgwater,USD/kgwater,minimize,9,0.18030701050054604,H01,0.2817578635269986,H09,0.21750525296346843,0.21059554013040163,0.03272904503652415,POPULATION_DDOF_0,0.18737255918970133,0.23841950853573274,0.051046949346031406,HYNDMAN_FAN_TYPE_7,0.10145085302645257
HIST_R1_REEVAL,CO2_specific_kgCO2_per_kgwater,kgCO2/kgwater,minimize,9,0.4043097419600721,H01,0.6878844743274163,H09,0.512243287490389,0.49516643659138637,0.09085684090882361,POPULATION_DDOF_0,0.43050206568236915,0.5714115538663084,0.14090948818393922,HYNDMAN_FAN_TYPE_7,0.2835747323673442
CORRECTED_R1,MR_final,dimensionless,minimize,9,0.015163555853391462,C01,0.0976824159460894,C03,0.04509192846744009,0.028886799370315748,0.03086869764934298,POPULATION_DDOF_0,0.02239970549598287,0.06592893450793702,0.04352922901195415,HYNDMAN_FAN_TYPE_7,0.08251886009269793
CORRECTED_R1,cost_specific_USD_per_kgwater,USD/kgwater,minimize,9,0.18471976529485853,C02,0.2712071587404825,C01,0.2185441058523385,0.21733365919792744,0.02999186460633553,POPULATION_DDOF_0,0.1898535301772997,0.2413384494217395,0.05148491924443979,HYNDMAN_FAN_TYPE_7,0.08648739344562398
CORRECTED_R1,CO2_specific_kgCO2_per_kgwater,kgCO2/kgwater,minimize,9,0.42177467537964236,C03,0.6595831664180842,C01,0.516286167956364,0.5142727514952378,0.08230118179233056,POPULATION_DDOF_0,0.43793525200889427,0.5790487923268146,0.14111354031792034,HYNDMAN_FAN_TYPE_7,0.23780849103844187
